name,gender,fathers_name,date_of_birth,class_id,email,phone,address,id
Illankumaran gulgule,Male,narender singh gulgule,2019-04-07,CL000001,illankumaran.gulgule@gmail.com,+919445035334,"07/88, Uppal Path, Bihar Sharif, Shahjahanpur, Uttar Pradesh, India, 742696",ST000020
Nirpana lagoo,Female,baksi lagoo,2018-10-20,CL000001,nirpana.lagoo@yahoo.com,+916936196733,"H.No. 916, Wason Marg, Eluru, Mirzapur, Uttar Pradesh, India, 522523",ST000021
Aagnesh potdukhe,Male,abhay potdukhe,2017-08-11,CL000001,aagnesh.potdukhe@gmail.com,+917417083344,"H.No. 70, Mandal Street, Sultan Pur Majra, Baghpat, Uttar Pradesh, India, 349004",ST000022
Mogilalagan hasnee,Male,sandeep kumar hasnee,2017-12-11,CL000001,mogilalagan.hasnee@yahoo.com,+916738619333,"214, Srinivas, Bangalore, Ghaziabad, Uttar Pradesh, India, 820226",ST000023
Ujjawal buty,Male,utam singh buty,2019-05-06,CL000001,ujjawal.buty@gmail.com,+918525132848,"H.No. 463, Mann Circle, Ambala, Firozabad, Uttar Pradesh, India, 020601",ST000024
Shivmati toor,Male,manoj kumar toor,2019-02-15,CL000001,shivmati.toor@gmail.com,+918525365651,"86/77, Manda Nagar, Rajpur Sonarpur, Kanpur Dehat, Uttar Pradesh, India, 435804",ST000025
Kohulamynthan upasni,Male,ramvihar chorsiya upasni,2017-07-11,CL000001,kohulamynthan.upasni@yahoo.com,+916577768366,"64, Deo Zila, Yamunanagar, Agra, Uttar Pradesh, India, 830565",ST000026
Sarujan kulshreshtha,Male,khursheed kulshreshtha,2019-01-11,CL000001,sarujan.kulshreshtha@yahoo.com,+918138429105,"793, Sangha Circle, Muzaffarnagar, Chandauli, Uttar Pradesh, India, 545531",ST000027
Kalinggai satija,Female,sahil kumar satija,2019-02-12,CL000001,kalinggai.satija@gmail.com,+919246183310,"H.No. 94, Sachdev Marg, Jorhat, Varanasi, Uttar Pradesh, India, 133285",ST000028
Apinath grover,Male,ankit kumar grover,2017-10-30,CL000001,apinath.grover@gmail.com,+917122610850,"00/036, Sagar Path, Ongole, Kushinagar, Uttar Pradesh, India, 934698",ST000029
Vasvi panse,Female,bhojpal panse,2018-02-12,CL000001,vasvi.panse@gmail.com,+917574445127,"38, Sawhney, Guna, Meerut, Uttar Pradesh, India, 297811",ST000030
Devajuta jain,Male,अर्जुन म jain,2017-10-17,CL000001,devajuta.jain@gmail.com,+916647689527,"H.No. 74, Wali Path, Adoni, Bijnor, Uttar Pradesh, India, 803715",ST000031
Deeshna barde,Female,shyam barde,2018-01-30,CL000001,deeshna.barde@hotmail.com,+917353480764,"14/346, Bansal Street, Uluberia, Amroha, Uttar Pradesh, India, 471716",ST000032
Pirabu gaur,Male,pankaj kumar gaur,2017-11-25,CL000001,pirabu.gaur@yahoo.com,+918074212493,"H.No. 760, Mangat Circle, Anantapuram, Azamgarh, Uttar Pradesh, India, 042983",ST000033
Girika haksar,Male,aman arora haksar,2017-10-23,CL000001,girika.haksar@hotmail.com,+918005255894,"525, Tiwari Street, Machilipatnam, Hardoi, Uttar Pradesh, India, 634676",ST000034
Koshihan yadav,Male,rahish kha yadav,2018-12-22,CL000001,koshihan.yadav@hotmail.com,+917680405362,"99/69, Vala Path, Ratlam, Unnao, Uttar Pradesh, India, 812115",ST000035
Umabalan chedge,Male,mr. kishan singh chedge,2018-01-24,CL000001,umabalan.chedge@hotmail.com,+916237913017,"91/429, Rajan Chowk, Kalyan-Dombivli, Pratapgarh, Uttar Pradesh, India, 066538",ST000036
Jothisree divekar,Female,mohd jaid divekar,2017-09-17,CL000001,jothisree.divekar@yahoo.com,+917807101144,"H.No. 480, Sant Nagar, Nandyal, Jalaun, Uttar Pradesh, India, 860935",ST000037
Sanmuga langote,Male,pawan kumar langote,2018-01-13,CL000001,sanmuga.langote@hotmail.com,+918630449558,"43, Andra Circle, Ongole, Fatehpur, Uttar Pradesh, India, 726430",ST000038
Aranga zariwala,Female,p dinesh raju zariwala,2018-12-04,CL000001,aranga.zariwala@gmail.com,+918325905929,"19/66, Kari Zila, Dhule, Shahjahanpur, Uttar Pradesh, India, 913282",ST000039
Vimarshanan moghe,Male,neeraj moghe,2018-10-05,CL000001,vimarshanan.moghe@yahoo.com,+917567939114,"52/232, Chandran Zila, New Delhi, Maharajganj, Uttar Pradesh, India, 507492",ST000040
Vishruthi shikhavat,Female,aaditya yadav shikhavat,2018-01-01,CL000001,vishruthi.shikhavat@yahoo.com,+916641445539,"H.No. 018, Jaggi Circle, Kurnool, Sitapur, Uttar Pradesh, India, 360266",ST000041
Athusha narayan,Female,ansh narayan,2019-02-14,CL000001,athusha.narayan@yahoo.com,+916390828056,"33/786, Gulati Road, Nellore, Kaushambi, Uttar Pradesh, India, 345290",ST000042
Dhakshanasri kanoongo,Female,vikram arora kanoongo,2017-10-15,CL000001,dhakshanasri.kanoongo@gmail.com,+919855080114,"H.No. 490, Chand Marg, Siwan, Deoria, Uttar Pradesh, India, 858962",ST000043
Thrinayani lahoti,Female,bhagat singh lahoti,2019-03-08,CL000001,thrinayani.lahoti@yahoo.com,+917684362924,"H.No. 76, Vala, Patiala, Sant Kabir Nagar, Uttar Pradesh, India, 113073",ST000044
Vidhun nehru,Male,vakil nehru,2018-03-02,CL000001,vidhun.nehru@hotmail.com,+916938886279,"42, Rastogi Ganj, Aizawl, Shrawasti, Uttar Pradesh, India, 214279",ST000045
Yogashe tanwar,Female,mahendra tanwar,2018-08-17,CL000001,yogashe.tanwar@gmail.com,+918538219441,"88/45, Sur Road, Tadepalligudem, Azamgarh, Uttar Pradesh, India, 257090",ST000046
Savit basu,Male,shobha ram basu,2017-08-11,CL000001,savit.basu@hotmail.com,+917751554237,"252, Dasgupta Marg, Pudukkottai, Kheri, Uttar Pradesh, India, 767130",ST000047
Tharanga mande,Female,rekha mande,2017-06-04,CL000001,tharanga.mande@yahoo.com,+918693888798,"093, Ramaswamy Road, Gaya, Deoria, Uttar Pradesh, India, 781909",ST000048
Behrooz parmar,Male,suraj nath yadav parmar,2017-12-29,CL000001,behrooz.parmar@yahoo.com,+917631102257,"05/61, Krishnamurthy Marg, Gwalior, Mathura, Uttar Pradesh, India, 336411",ST000049
Kalidas bisht,Male,parvej bisht,2019-03-07,CL000001,kalidas.bisht@gmail.com,+916546582980,"59/28, Barad Nagar, Aizawl, Hamirpur, Uttar Pradesh, India, 450845",ST000050
Trilosh punj,Male,kartik punj,2016-10-24,CL000002,trilosh.punj@hotmail.com,+917560685922,"10, Dani Path, Madhyamgram, Azamgarh, Uttar Pradesh, India, 559415",ST000051
Aviyukta laghate,Male,kundan laghate,2016-06-20,CL000002,aviyukta.laghate@hotmail.com,+916675011026,"34/77, Vyas Marg, Thane, Meerut, Uttar Pradesh, India, 766147",ST000052
Aaghnya mohril,Female,shyam lal chawla mohril,2016-09-29,CL000002,aaghnya.mohril@gmail.com,+917145811612,"55/29, Bhatti Ganj, Machilipatnam, Sant Kabir Nagar, Uttar Pradesh, India, 609389",ST000053
Sabarishan wattal,Male,vikash malik wattal,2016-07-02,CL000002,sabarishan.wattal@yahoo.com,+918124515855,"H.No. 096, Magar Circle, Bellary, Gonda, Uttar Pradesh, India, 432501",ST000054
Rubanya gehlot,Female,pardeep @rahul gehlot,2017-08-09,CL000002,rubanya.gehlot@yahoo.com,+918520779854,"H.No. 74, Khanna Street, Jaipur, Bahraich, Uttar Pradesh, India, 708090",ST000055
Surup doshi,Male,vinay doshi,2017-07-02,CL000002,surup.doshi@yahoo.com,+916940702955,"H.No. 967, Arya Path, Muzaffarnagar, Mainpuri, Uttar Pradesh, India, 462601",ST000056
Thishalali hiranandani,Female,anish hiranandani,2018-04-06,CL000002,thishalali.hiranandani@hotmail.com,+918049591606,"02, Guha Ganj, Amritsar, Rampur, Uttar Pradesh, India, 300125",ST000057
Lipsika dhumal,Female,haseen dhumal,2017-05-12,CL000002,lipsika.dhumal@yahoo.com,+918346332097,"H.No. 10, Tiwari Nagar, Ranchi, Sant Kabir Nagar, Uttar Pradesh, India, 817299",ST000058
Vishveshwara tiwari,Male,rajesh gupta tiwari,2018-01-19,CL000002,vishveshwara.tiwari@hotmail.com,+919159595549,"63/943, Kuruvilla Nagar, Ujjain, Baghpat, Uttar Pradesh, India, 314126",ST000059
Gagana upasni,Female,irfan upasni,2018-03-17,CL000002,gagana.upasni@gmail.com,+919571948011,"38/85, Ramanathan Street, Kharagpur, Sant Kabir Nagar, Uttar Pradesh, India, 254321",ST000060
Idhazinee wadekar,Female,santosh wadekar,2017-05-25,CL000002,idhazinee.wadekar@gmail.com,+917530648727,"H.No. 035, Sinha Road, Singrauli, Jaunpur, Uttar Pradesh, India, 690938",ST000061
Vibushana phogat,Female,shalig ram phogat,2018-03-28,CL000002,vibushana.phogat@gmail.com,+919286762082,"H.No. 211, Suresh Street, Saharsa, Bahraich, Uttar Pradesh, India, 226539",ST000062
Arakshana basha,Female,akhil mehta basha,2017-02-09,CL000002,arakshana.basha@yahoo.com,+918557373563,"28/17, Amble Chowk, Shimoga, Chitrakoot, Uttar Pradesh, India, 354890",ST000063
Mithon gokarn,Male,ram chander gokarn,2017-06-18,CL000002,mithon.gokarn@gmail.com,+917078356449,"89/12, Varkey Nagar, Dehradun, Saharanpur, Uttar Pradesh, India, 784869",ST000064
Hemavati asthana,Female,jeesan asthana,2017-04-07,CL000002,hemavati.asthana@yahoo.com,+916835887304,"70, Kant Circle, Bhalswa Jahangir Pur, Kheri, Uttar Pradesh, India, 643875",ST000065
Andrika tilak,Female,atul tilak,2017-08-25,CL000002,andrika.tilak@hotmail.com,+918684709216,"26/734, Amble Ganj, Chinsurah, Gonda, Uttar Pradesh, India, 471803",ST000066
Aaheerthana vaidya,Female,versha vaidya,2017-07-25,CL000002,aaheerthana.vaidya@hotmail.com,+918263015974,"14, Balasubramanian Marg, Khandwa, Azamgarh, Uttar Pradesh, India, 235365",ST000067
Vapurda rastogi,Female,inderjeet singh rastogi,2018-04-13,CL000002,vapurda.rastogi@yahoo.com,+917730074804,"53/571, Rana Ganj, Solapur, Kanpur Dehat, Uttar Pradesh, India, 461750",ST000068
Suheer jariwala,Male,nitin kumar jariwala,2017-10-18,CL000002,suheer.jariwala@hotmail.com,+917652746126,"98/87, Khalsa Marg, Davanagere, Mirzapur, Uttar Pradesh, India, 451158",ST000069
Trina singham,Female,deepak @ sourav singham,2017-10-14,CL000002,trina.singham@gmail.com,+917772982180,"70/718, Reddy Ganj, Tadipatri, Hamirpur, Uttar Pradesh, India, 230688",ST000070
Thayanan gaitonde,Male,anil jatav gaitonde,2017-09-02,CL000002,thayanan.gaitonde@gmail.com,+919936738302,"H.No. 248, Dube Nagar, Alwar, Bijnor, Uttar Pradesh, India, 079659",ST000071
Sarvari bokare,Female,sudhir gupta bokare,2017-07-08,CL000002,sarvari.bokare@yahoo.com,+919555542840,"H.No. 020, Sengupta Road, Baranagar, Sambhal, Uttar Pradesh, India, 617522",ST000072
Pugazhozhi gangotri,Female,vicky gangotri,2017-12-11,CL000002,pugazhozhi.gangotri@hotmail.com,+918633981223,"04/359, Gill Street, Vijayawada, Kasganj, Uttar Pradesh, India, 485785",ST000073
Thuvaarangan bamnote,Male,najrin bamnote,2017-08-25,CL000002,thuvaarangan.bamnote@gmail.com,+919662707244,"28, Som Path, Bhiwani, Kanpur Nagar, Uttar Pradesh, India, 809120",ST000074
Vakshani rokade,Female,tassadul omar rokade,2017-04-29,CL000002,vakshani.rokade@gmail.com,+916981733748,"H.No. 38, Subramaniam Ganj, Madhyamgram, Kasganj, Uttar Pradesh, India, 191110",ST000075
Chitramugil diwadkar,Female,ujjwal kumar @ bittu diwadkar,2017-02-25,CL000002,chitramugil.diwadkar@hotmail.com,+919643848682,"20/37, Varkey Path, Udaipur, Siddharthnagar, Uttar Pradesh, India, 252242",ST000076
Yanushka parihar,Female,rahul kumar parihar,2017-08-11,CL000002,yanushka.parihar@hotmail.com,+918281478334,"H.No. 774, Shenoy, Morbi, Bijnor, Uttar Pradesh, India, 551540",ST000077
Dennishwaran [simha]],Male,stephen topo [simha]],2016-08-28,CL000002,dennishwaran.[simha]]@yahoo.com,+919105291932,"07/82, Kaul Ganj, Thane, Hardoi, Uttar Pradesh, India, 337465",ST000078
Sashidhar pagi,Male,sanju pagi,2017-12-22,CL000002,sashidhar.pagi@yahoo.com,+917392171867,"H.No. 194, Dugal Circle, Anand, Saharanpur, Uttar Pradesh, India, 710434",ST000079
Naakaiah nanavati,Male,gaurav nanavati,2017-01-19,CL000002,naakaiah.nanavati@gmail.com,+918403064229,"H.No. 951, Barad, Nizamabad, Sambhal, Uttar Pradesh, India, 004288",ST000080
Prahalathan chimalwar,Male,sawan kumar chimalwar,2018-04-17,CL000002,prahalathan.chimalwar@yahoo.com,+919738001379,"26/44, Kade Path, Haldia, Kheri, Uttar Pradesh, India, 918349",ST000081
Yamha zariwala,Male,ramesh zariwala,2017-03-27,CL000002,yamha.zariwala@gmail.com,+918052073071,"87, Ratta Path, Vadodara, Azamgarh, Uttar Pradesh, India, 097854",ST000082
Thivishan malpe,Male,sumer malik malpe,2017-09-26,CL000002,thivishan.malpe@hotmail.com,+916530509552,"990, Ghosh Zila, Vellore, Etah, Uttar Pradesh, India, 264278",ST000083
Hinduja choksi,Female,karan trehan choksi,2018-05-07,CL000002,hinduja.choksi@hotmail.com,+916939146840,"16, Tata Chowk, Barasat, Kushinagar, Uttar Pradesh, India, 024257",ST000084
Sakthikrishna nigam,Male,rohit nigam,2017-06-28,CL000002,sakthikrishna.nigam@yahoo.com,+919572436176,"99/88, Shetty Path, Rewa, Kanpur Dehat, Uttar Pradesh, India, 530235",ST000085
Anoma kalwani,Female,deepak kalwani,2017-06-16,CL000002,anoma.kalwani@gmail.com,+917617650173,"25, Sant, Aligarh, Auraiya, Uttar Pradesh, India, 638336",ST000086
Tharmeka bika,Female,jagmohan bika,2018-01-15,CL000002,tharmeka.bika@yahoo.com,+917347145344,"H.No. 23, Kurian Nagar, Khandwa, Ghaziabad, Uttar Pradesh, India, 488778",ST000087
Nathvika babariya,Female,islam babariya,2016-09-29,CL000002,nathvika.babariya@gmail.com,+917326811738,"H.No. 85, Bhandari Zila, Mehsana, Kushinagar, Uttar Pradesh, India, 368539",ST000088
Haritharani yagnik,Female,shyam lal yagnik,2017-01-05,CL000002,haritharani.yagnik@yahoo.com,+917871096725,"26, Mane Marg, Vijayawada, Unnao, Uttar Pradesh, India, 226844",ST000089
Nymisha kharbanda,Female,awdhesh pokharana kharbanda,2018-02-12,CL000002,nymisha.kharbanda@hotmail.com,+917647887742,"103, Mani Marg, Vadodara, Chitrakoot, Uttar Pradesh, India, 855224",ST000090
Oviyapaavai talsania,Female,rajbir talsania,2016-09-19,CL000002,oviyapaavai.talsania@hotmail.com,+919121478224,"234, Apte Path, Deoghar, Chitrakoot, Uttar Pradesh, India, 378361",ST000091
Hirushanthan pathak,Male,kifayat tula khan pathak,2017-04-11,CL000002,hirushanthan.pathak@gmail.com,+917096447461,"672, Chakraborty Chowk, Amravati, Faizabad, Uttar Pradesh, India, 679592",ST000092
Asothai gosai,Female,hari @ abhishek gosai,2018-01-04,CL000002,asothai.gosai@gmail.com,+916571636317,"572, Jani Circle, Dhule, Mahoba, Uttar Pradesh, India, 809127",ST000093
Jeyathees minhas,Male,sanjay minhas,2018-02-06,CL000002,jeyathees.minhas@hotmail.com,+919543321073,"048, Gulati Nagar, Sri Ganganagar, Bahraich, Uttar Pradesh, India, 857422",ST000094
Sarupriyan ambedkar,Male,vinod ambedkar,2017-08-30,CL000002,sarupriyan.ambedkar@yahoo.com,+918848679947,"H.No. 929, Sachdeva Ganj, Nagpur, Hathras, Uttar Pradesh, India, 379443",ST000095
Thillaiyuran unni,Male,trijugi narayan sukla unni,2017-04-20,CL000002,thillaiyuran.unni@yahoo.com,+916281925988,"89/64, Keer Nagar, Shivpuri, Etah, Uttar Pradesh, India, 291526",ST000096
Kugathasan jariwala,Male,yasib jariwala,2017-12-18,CL000002,kugathasan.jariwala@yahoo.com,+918527690721,"H.No. 21, Rout Path, Jamshedpur, Unnao, Uttar Pradesh, India, 584352",ST000097
Gowrishangar yenugula,Male,hazari yenugula,2018-03-13,CL000002,gowrishangar.yenugula@gmail.com,+917109304891,"66, Swamy Marg, Alappuzha, Chandauli, Uttar Pradesh, India, 871489",ST000098
Rethees karia,Male,beragi singh karia,2016-12-23,CL000002,rethees.karia@gmail.com,+918925250653,"60, Talwar Road, Sasaram, Siddharthnagar, Uttar Pradesh, India, 585442",ST000099
Rudraeswar madiwale,Male,ajay madiwale,2017-04-27,CL000002,rudraeswar.madiwale@yahoo.com,+918223705824,"H.No. 68, Deshmukh Street, Narasaraopet, Unnao, Uttar Pradesh, India, 713287",ST000100
Lakshirtha lohia,Male,amit gupta lohia,2015-09-21,CL000003,lakshirtha.lohia@hotmail.com,+916746806179,"33/99, Subramanian Ganj, Tadipatri, Azamgarh, Uttar Pradesh, India, 270769",ST000101
Saee zade,Female,ravi zade,2016-03-23,CL000003,saee.zade@gmail.com,+917199100635,"H.No. 450, Chakraborty Marg, Karimnagar, Gautam Buddha Nagar, Uttar Pradesh, India, 756029",ST000102
Nithaesh agate,Male,punnet agate,2016-11-12,CL000003,nithaesh.agate@hotmail.com,+916012507590,"95/880, Dhar Path, Bhagalpur, Mau, Uttar Pradesh, India, 783116",ST000103
Kasthure tambke,Female,mangilal tambke,2015-11-04,CL000003,kasthure.tambke@yahoo.com,+916181124229,"752, Mahal Circle, Cuttack, Aligarh, Uttar Pradesh, India, 681692",ST000104
Pramodan kumble,Male,anuj kumar kumble,2015-10-18,CL000003,pramodan.kumble@hotmail.com,+919637817576,"813, Sankar, Thrissur, Etah, Uttar Pradesh, India, 210690",ST000105
Jasritha sahu,Female,rai singh sahu,2015-11-30,CL000003,jasritha.sahu@hotmail.com,+918760645925,"070, Bhargava Zila, Hospet, Sultanpur, Uttar Pradesh, India, 023001",ST000106
Advaith dandekar,Male,jai ram mandal dandekar,2016-08-19,CL000003,advaith.dandekar@yahoo.com,+917332930796,"91, Aurora Nagar, Bikaner, Barabanki, Uttar Pradesh, India, 110373",ST000107
Rovisha dalvi,Female,saurabh dalvi,2015-10-13,CL000003,rovisha.dalvi@gmail.com,+918055976711,"H.No. 97, Bansal Path, Dibrugarh, Chitrakoot, Uttar Pradesh, India, 985833",ST000108
Nivathika srinivasan,Female,laxman srinivasan,2015-07-28,CL000003,nivathika.srinivasan@yahoo.com,+919286354847,"068, Mallick Road, Faridabad, Shamli, Uttar Pradesh, India, 924684",ST000109
Maneeshkumaran govitrikar,Male,sudhir govitrikar,2016-04-25,CL000003,maneeshkumaran.govitrikar@gmail.com,+918583842628,"730, Seth Street, Udaipur, Gorakhpur, Uttar Pradesh, India, 880388",ST000110
Jegatambal sahu,Female,swami nathan sahu,2016-11-11,CL000003,jegatambal.sahu@yahoo.com,+918885834525,"77, Jayaraman Street, Kalyan-Dombivli, Siddharthnagar, Uttar Pradesh, India, 235461",ST000111
Udhayathara kundar,Female,sumit kumar kundar,2016-10-01,CL000003,udhayathara.kundar@hotmail.com,+916266180676,"H.No. 759, Sagar Ganj, Etawah, Shrawasti, Uttar Pradesh, India, 054676",ST000112
Valarnila tagore,Female,tejpal tagore,2017-04-27,CL000003,valarnila.tagore@hotmail.com,+917485518807,"H.No. 95, Bawa Chowk, Tiruchirappalli, Hathras, Uttar Pradesh, India, 572641",ST000113
Deluxshana yedekar,Female,deepchand yedekar,2017-02-04,CL000003,deluxshana.yedekar@yahoo.com,+918906964024,"46/25, Dhillon Ganj, Haldia, Mau, Uttar Pradesh, India, 445489",ST000114
Vijayapriya unnikrishnan,Female,ravi dutt unnikrishnan,2015-09-16,CL000003,vijayapriya.unnikrishnan@gmail.com,+919488261869,"H.No. 80, Bala Ganj, Pune, Ballia, Uttar Pradesh, India, 833903",ST000115
Dinithia prajapati,Female,bahadur prajapati,2016-01-20,CL000003,dinithia.prajapati@gmail.com,+918226979337,"H.No. 417, Ram Nagar, Nanded, Gorakhpur, Uttar Pradesh, India, 555757",ST000116
Dhujana darbari,Female,raj kishore darbari,2017-05-15,CL000003,dhujana.darbari@hotmail.com,+918271078579,"238, Guha Marg, Ludhiana, Gautam Buddha Nagar, Uttar Pradesh, India, 645660",ST000117
Sarwar fernandez,Male,sonu fernandez,2016-01-25,CL000003,sarwar.fernandez@hotmail.com,+918066082574,"H.No. 203, Bath Chowk, Bhiwani, Agra, Uttar Pradesh, India, 782208",ST000118
Kamsika namboodiri,Female,piyush kalra namboodiri,2016-12-25,CL000003,kamsika.namboodiri@gmail.com,+918673566821,"71/594, Loyal Nagar, Rohtak, Kasganj, Uttar Pradesh, India, 747521",ST000119
Hridyansh thackeray,Male,ram bhajan thackeray,2016-08-24,CL000003,hridyansh.thackeray@gmail.com,+916899607624,"62/19, Hayre Circle, Arrah, Banda, Uttar Pradesh, India, 460734",ST000120
Ranuja singham,Female,sanjeev singham,2016-09-10,CL000003,ranuja.singham@gmail.com,+919931871429,"36, Dani Path, Patna, Kasganj, Uttar Pradesh, India, 016569",ST000121
Larina apdev,Female,ramesh apdev,2015-07-21,CL000003,larina.apdev@gmail.com,+917655471111,"58, Saini, Tadipatri, Unnao, Uttar Pradesh, India, 221160",ST000122
Dhanraj wattal,Male,anil kumar wattal,2015-08-01,CL000003,dhanraj.wattal@hotmail.com,+916561439941,"54, Kamdar Nagar, Vijayanagaram, Auraiya, Uttar Pradesh, India, 153368",ST000123
Thamilarasy tadaskar,Female,sagar tadaskar,2016-02-06,CL000003,thamilarasy.tadaskar@hotmail.com,+917528976515,"22, Gokhale, Naihati, Agra, Uttar Pradesh, India, 977042",ST000124
Priyaana unnithan,Female,noor ahmed unnithan,2015-08-04,CL000003,priyaana.unnithan@yahoo.com,+917130671377,"18, Dani Nagar, Udupi, Mainpuri, Uttar Pradesh, India, 653218",ST000125
Sushantkiran malini,Male,rakesh kumar meena malini,2016-07-01,CL000003,sushantkiran.malini@gmail.com,+918019289505,"H.No. 483, Basu Marg, New Delhi, Sonbhadra, Uttar Pradesh, India, 591844",ST000126
Asamati panjwani,Female,pravin kasana panjwani,2016-10-06,CL000003,asamati.panjwani@yahoo.com,+918212559996,"13, Vig Street, Aizawl, Kaushambi, Uttar Pradesh, India, 597619",ST000127
Chitrakala zalpuri,Female,arif zalpuri,2016-04-09,CL000003,chitrakala.zalpuri@gmail.com,+919789893522,"90/161, Lad Path, Kishanganj, Azamgarh, Uttar Pradesh, India, 190698",ST000128
Ruksha johal,Female,trlokchand johal,2015-06-04,CL000003,ruksha.johal@yahoo.com,+917422192708,"44, Shetty Street, Varanasi, Fatehpur, Uttar Pradesh, India, 096689",ST000129
Dyanesh saini,Male,joni saini,2015-10-03,CL000003,dyanesh.saini@yahoo.com,+917820686891,"H.No. 05, Grewal, Agra, Raebareli, Uttar Pradesh, India, 051497",ST000130
Rubitha tekchandani,Female,roshan ram tekchandani,2016-09-10,CL000003,rubitha.tekchandani@yahoo.com,+919612466144,"602, Soni Marg, Hindupur, Bhadohi, Uttar Pradesh, India, 447150",ST000131
Pargavan dhar,Male,dharmveer dhar,2016-02-02,CL000003,pargavan.dhar@yahoo.com,+919750874091,"H.No. 068, Luthra Ganj, Cuttack, Ballia, Uttar Pradesh, India, 016811",ST000132
Nibaana gujral,Female,rajkumar gujral,2016-07-27,CL000003,nibaana.gujral@gmail.com,+916911115938,"12/282, Lal Circle, Ichalkaranji, Siddharthnagar, Uttar Pradesh, India, 778822",ST000133
Anwitha sanon,Female,mr. kishan lal sanon,2015-07-16,CL000003,anwitha.sanon@hotmail.com,+918447734664,"81/503, Samra, Dibrugarh, Baghpat, Uttar Pradesh, India, 848677",ST000134
